1 月 11 日美股 专家 坐堂 实录 
 　 　 1 月 11 日 ， 美股 专家 曾文俊 做客 新浪 财经 ， 回答 新浪 网友 提出 的 股市 方面 的 问题 ， 以下 是 问答 实录 ： 
 　 　 匿名 问 ： 	 曾 老师 ， 等 你 很 久 了 ， 所以 今天 早早 的 来 ， 我 想 问问 北大荒 这股 在 2010 年 有 作为 吗 ？ 我 想 进 ， 现在 是否 调整 到位 ， 支称 点 是 多少 ？ ( 2010 - 01 - 1119 : 35 : 29 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 北大荒 是 农业 龙头 ， 也 是 沉寂 了 近 一年 。 农业 股 还是 有 值得 期待 的 地方 。 ( 2010 - 01 - 1121 : 25 : 16 ) 
 　 　 匿名 问 ： 	 howaboutGEthanks ( 2010 - 01 - 1120 : 23 : 33 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 随着 这 几日 美股 大盘 的 日益 走强 ， ge 这 两天 也 大幅 上涨 。 我们 对美股 后续 走势 继续 看好 ， 个股 也 有望 持续 。 ( 2010 - 01 - 1121 : 23 : 43 ) 
 　 　 匿名 问 ： 	 曾 老师 ， 我 前次 问过 您 600586 的 ， 您 建议 我 大盘 在 反弹 中暂 持有 ， 我现 一直 持有 着 ， 现在 又 开始 振仓 了 ， 我 想 这个 股在 太阳能 产品 的 发展 上 应会 出 很 好 的 成绩 ， 我 想 长期 持有 ， 您 能 给 点 意见 吗 ？ 谢谢 ( 2010 - 01 - 1120 : 40 : 33 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 新能源 股在 3 月 以后 就 没有 表现 。 不过 现在 原油 再次 新高 ， 如果 持续 下去 ， 新能源 股 还是 有 希望 再次 活跃 的 。 支撑 13.6 ( 2010 - 01 - 1121 : 20 : 37 ) 
 　 　 匿名 问 ： 	 曾 SIR ， 请问 MPEL 这个 ， 现在 是 什么 情况 啊 ， 什么 价位 入场 比较 可以 呢 ， 谢谢 ( 2010 - 01 - 1121 : 18 : 20 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 赌场 股 ， 长期 下跌 ， 不过 在 美股 这 几日 新高 后 开始 活跃 。 短线 机会 操作 吧 ， 做好 止损 。 2 － 3 根 阴线 介入 。 ( 2010 - 01 - 1121 : 28 : 55 ) 
 　 　 匿名 问 ： 	 曾哥 ， 请问 JAZZ 怎么样 ， 可不可以 进 了 ， 谢 了 ( 2010 - 01 - 1121 : 21 : 53 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 之前 好像 分析 过 ， 医药 股 容易 受 消息 刺激 大幅 波动 。 不太 建议 中 长 持有 。 短线 玩 波动 又 不足 。 ( 2010 - 01 - 1121 : 31 : 19 ) 
 　 　 匿名 问 ： 	 帅哥 ， 帮 我 看看 中国 人寿 的 走势 ， 怎么 那么 弱 啊 ， 我该 怎么办 呢 ？ 41 快 买 的 ， 明天 会 走高 吗 ( 2010 - 01 - 1121 : 22 : 53 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 41 买 的话 ， 套 的 很 长时间 了 。 我 建议 持有 吧 。 保险 股 也 沉寂 很久 了 ， 期待 经济 复苏 行情 吧 。 ( 2010 - 01 - 1121 : 32 : 20 ) 
 　 　 匿名 问 ： 	 先生 ， 上次 得到 您 ， 关于 002248 . 宁波 华翔 的 指导 。 十分 感谢 。 。 今天 可否 再 帮忙 看看 。 他 是否 还 在 上升 通道 。 是 买入 还是 止损 ？ 谢谢 了 。 ( 2010 - 01 - 1121 : 25 : 45 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 还 在 上升 通道 。 不过 汽车 股 最近 机构 减仓 明显 。 汽配 方面 的 力度 可能 也 会 逐步 衰竭 。 ( 2010 - 01 - 1121 : 34 : 30 ) 
 　 　 匿名 问 ： 	 老师 ， 您 看好 AMAT 吗 ？ 多少 进场 好 ？ ( 2010 - 01 - 1121 : 26 : 44 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 半导体 股 ， 走势 还是 比较 强 ， 也 站上 了 14 块 。 可以 考虑 现价 附近 买入 ， 并 对 14 的 支撑 做 止损 保护 。 ( 2010 - 01 - 1121 : 38 : 28 ) 
 　 　 匿名 问 ： 	 曾 老师 ， 您好 ， 现在 您 对 黄金 有 什么 看法 ， 能 创出 新高 吗 ？ 美元 还会 下跌 吗 ？ 谢谢 ( 2010 - 01 - 1121 : 27 : 38 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 新高 是 指 1200 以上 ？ 有 可能 ， 不过 可能 不 大 。 美元 仍然 还有 调整 空间 ， 不过 要说 新低 ， 可能 也 不大 。 基本面 原因 见 我 博客 。 ( 2010 - 01 - 1121 : 39 : 39 ) 
 　 　 匿名 问 ： 	 曾 老师 您好 ， 您 看 leap 在 调整 以后 是否 还 能 再 继续 上涨 呢 ？ ( 2010 - 01 - 1121 : 36 : 55 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 不 建议 参与 明显 下跌 趋势 的 股票 啊 。 ( 2010 - 01 - 1121 : 46 : 50 ) 
 　 　 匿名 问 ： 	 曾 先生 ， 能 问 一下 关于 美元 接下来 的 走势 吗 ？ 自 上个星期 的 非农 数据 远差 于 预期 。 接下来 美元 会 怎样 ？ ( 2010 - 01 - 1121 : 39 : 46 ) 　 　 专家 [ 曾文俊 ] 答 ： 	 美元 的 走势 我 一直 在 博客 里 做 跟踪 ， 非农 数据 不佳 是 可以 预期 的 。 观点 并未 改变 ， 长期 筑底 过程 。 详细分析 见 博客 吧 。 blog . sina . com . cn / wenjunzeng ( 2010 - 01 - 1121 : 47 : 54 ) 
